species,species_code,#_Seedpods,#_Seed_per_pod,Seedpod_mass_g,envelope_ID_motherfamily,Total#_seeds_weighed,total_seed_mass_g,comments,person,date
Chaenactis glabriuscula,Chagla,NA,NA,NA,5,24,0.0195,5/20/19 EE+GL,GC SC,20191121
Chlorogalum pomeridianum,Chlpom,NA,NA,NA,1,35,0.3758,7/21/19 EE,GC SC,20191121
Chlorogalum pomeridianum,Chlpom,NA,NA,NA,2,14,0.1463,7/21/19 EE,GC SC,20191121
Chlorogalum pomeridianum,Chlpom,NA,NA,NA,3,49,0.4111,7/21/19 EE,GC SC,20191121
Chlorogalum pomeridianum,Chlpom,NA,NA,NA,4,34,0.3965,7/21/19 EE,GC SC,20191121
Chlorogalum pomeridianum,Chlpom,NA,NA,NA,5,27,0.2454,7/21/19 EE,GC SC,20191121
Clarkia gracilis,Clagra,NA,NA,NA,1,106,0.0401,6/29/2019 EE&MC,GC SC,20191121
Clarkia gracilis,Clagra,NA,NA,NA,2,89,0.0543,6/29/2019 EE&MC,GC SC,20191121
Clarkia gracilis,Clagra,NA,NA,NA,3,42,0.0191,6/29/2019 EE&MC,GC SC,20191121
Clarkia gracilis,Clagra,NA,NA,NA,4,41,0.0153,6/29/2019 EE&MC,GC SC,20191121
Clarkia gracilis,Clagra,NA,NA,NA,5,70,0.0314,6/29/2019 EE&MC,GC SC,20191121
Cryptantha hispidula,Cryhis,NA,NA,NA,1,24,0.007790,5/20/19 GL+EE; Top of 1st Hill,GC SC,20191121
Cryptantha hispidula,Cryhis,NA,NA,NA,2,20,0.006905,5/20/19 GL+EE; Top of 1st Hill,GC SC,20191121
Cryptantha hispidula,Cryhis,NA,NA,NA,3,21,0.006510,5/20/19 GL+EE; Top of 1st Hill,GC SC,20191121
Cryptantha hispidula,Cryhis,NA,NA,NA,4,14,0.005083,5/20/19 GL+EE; Top of 1st Hill,GC SC,20191121
Cryptantha hispidula,Cryhis,NA,NA,NA,5,20,0.006685,5/20/19 GL+EE; Top of 1st Hill,GC SC,20191121
Petrohagia prolifera,Petpro,NA,NA,NA,1,12,0.002114,5/10/10 GL+EE,GC SC,20191121
Petrohagia prolifera,Petpro,NA,NA,NA,2,31,0.006191,5/10/10 GL+EE,GC SC,20191121
Petrohagia prolifera,Petpro,NA,NA,NA,3,15,0.003471,5/10/10 GL+EE,GC SC,20191121
Petrohagia prolifera,Petpro,NA,NA,NA,4,10,0.002203,5/10/10 GL+EE,GC SC,20191121
Petrohagia prolifera,Petpro,NA,NA,NA,5,11,0.002696,5/10/10 GL+EE,GC SC,20191121
Nassella pulchra,Naspul,NA,NA,NA,1,9,0.057400,5/30/19 EE,GC SC,20191121
Nassella pulchra,Naspul,NA,NA,NA,2,14,0.0643,5/30/19 EE,GC SC,20191121
Nassella pulchra,Naspul,NA,NA,NA,3,13,0.051200,5/30/19 EE,GC SC,20191121
Nassella pulchra,Naspul,NA,NA,NA,4,8,0.054,5/30/19 EE,GC SC,20191121
Nassella pulchra,Naspul,NA,NA,NA,5,9,0.060100,5/30/19 EE,GC SC,20191121
Phlox gracilis,Phlgra,NA,NA,NA,1,6,0.0119,5/2/19 EE+GL,GC SC,20191121
Phlox gracilis,Phlgra,NA,NA,NA,2,7,0.015400,5/2/19 EE+GL,GC SC,20191121
Phlox gracilis,Phlgra,NA,NA,NA,3,15,0.0254,5/2/19 EE+GL,GC SC,20191121
Phlox gracilis,Phlgra,NA,NA,NA,4,6,0.013100,5/2/19 EE+GL,GC SC,20191121
Phlox gracilis,Phlgra,NA,NA,NA,5,6,0.0114,5/2/19 EE+GL,GC SC,20191125
Clarkia purpurea,Clapur,NA,NA,NA,1,52,0.017000,7/21/19 EE,GC SC,20191125
Clarkia purpurea,Clapur,NA,NA,NA,2,77,0.0258,7/21/19 EE,GC SC,20191125
Clarkia purpurea,Clapur,NA,NA,NA,3,64,0.024600,7/21/19 EE,GC SC,20191125
Clarkia purpurea,Clapur,NA,NA,NA,4,37,0.0163,7/21/19 EE,GC SC,20191125
Clarkia purpurea,Clapur,NA,NA,NA,5,117,0.047100,7/21/19 EE,GC SC,20191125
Dichelostemma capitatum,Diccap,NA,NA,NA,1,22,0.0351,5/10/19 E of Line 5; Elise and Grace,GC SC,20191125
Dichelostemma capitatum,Diccap,NA,NA,NA,2,5,0.010200,5/10/19 E of Line 5; Elise and Grace,GC SC,20191125
Dichelostemma capitatum,Diccap,NA,NA,NA,3,22,0.0243,5/10/19 E of Line 5; Elise and Grace,GC SC,20191125
Dichelostemma capitatum,Diccap,NA,NA,NA,4,10,0.014000,5/10/19 E of Line 5; Elise and Grace,GC SC,20191125
Dichelostemma capitatum,Diccap,NA,NA,NA,5,41,0.0449,5/10/19 E of Line 5; Elise and Grace,GC SC,20191125
Erigonum nudum,Erinud,NA,NA,NA,1,14,0.011000,9/15/19 EE,GC SC,20200124
Erigonum nudum,Erinud,NA,NA,NA,2,22,0.0286,9/15/19 EE,GC SC,20200124
Erigonum nudum,Erinud,NA,NA,NA,3,20,0.024100,9/15/19 EE,GC SC,20200124
Erigonum nudum,Erinud,NA,NA,NA,4,19,0.02,9/15/19 EE,GC SC,20200124
Erigonum nudum,Erinud,NA,NA,NA,5,15,0.014800,9/15/19 EE,GC SC,20200124
Agoseris heterophylla,Agohet,1,75,0.0669,NA,75,0.0377,,Grace L,20183018
Agoseris heterophylla,Agohet,1,35,0.0505,NA,35,0.014800,,Grace L,20183018
Agoseris heterophylla,Agohet,NA,105,NA,NA,105,0.0427,There is no seed pod,Grace L,20183018
Centaurea Solstistalis,Censol,3,NA,0.3193,NA,20,0.027100,,Grace L,20180510
Centaurea Solstistalis,Censol,3,"35, 5, 10",0.2337,NA,50,0.063,,Grace L,20180510
Centaurea Solstistalis,Censol,5,NA,0.2854,NA,27,0.042700,,Grace L,20180510
Centaurea Solstistalis,Censol,2,16.2,0.3361,NA,18,0.0255,"One pod had 16 seeds, the other had 2",,20180423
Centaurea Solstistalis,Censol,1,22,0.1542,NA,22,0.018300,,,20180418
Centaurea Solstistalis,Censol,1,2,0.1402,NA,2,0.0005,There was a lot of black/brown dust in this seed pos and only 2 seeds. Maybe the dust was decayed or not fully for meol seeds?,,20180418
Centaurea Solstistalis,Censol,1,13,0.1951,NA,13,0.022100,,,20180418
Centaurea Solstistalis,Censol,1,5,0.1109,NA,5,0.0014,,,20180418
Centaurea Solstistalis,Censol,1,6,0.1814,NA,6,0.010800,,,20180418
Centaurea Solstistalis,Censol,1,2,0.1197,NA,2,0.0013,,,20180418
Centaurea Solstistalis,Censol,1,7,0.1107,NA,7,0.007100,,,20180418
